"country_of_citizenship","player_count"
"Italy","1732"
"Turkey","1721"
"Spain","1721"
"France","1591"
"Brazil","1431"
"England","1379"
"Russia","1322"
"Netherlands","1320"
"Ukraine","1305"
"Germany","1206"
"Greece","1141"
"Portugal","1054"
"Belgium","1006"
"Denmark","986"
"Scotland","883"
"Argentina","530"
"Serbia","345"
"Senegal","281"
"Nigeria","280"
"Croatia","274"
"Sweden","255"
"Ghana","238"
"Morocco","227"
"Cote d'Ivoire","215"
"Ireland","215"
"Poland","188"
"Cameroon","182"
"Norway","174"
"Uruguay","171"
"Colombia","157"
"Switzerland","145"
"United States","145"
"Austria","141"
"Romania","139"
"Mali","134"
"Czech Republic","132"
"Algeria","131"
"Bosnia-Herzegovina","131"
"Albania","125"
"Slovenia","124"
"Australia","115"
"Japan","114"
"DR Congo","113"
"Wales","105"
"Slovakia","100"
"Georgia","92"
"Northern Ireland","91"
"Guinea","88"
"Tunisia","86"
"Iceland","85"
"Cape Verde","85"
"Hungary","79"
"Finland","76"
"Israel","72"
"Belarus","69"
"Venezuela","67"
"Chile","66"
"Montenegro","64"
"Bulgaria","64"
"North Macedonia","64"
"Kosovo","60"
"Guinea-Bissau","58"
"Paraguay","57"
"Angola","57"
"Canada","56"
"Curacao","54"
"Egypt","47"
"Mexico","47"
"Burkina Faso","47"
"South Africa","46"
"Congo","44"
"Armenia","43"
"Togo","41"
"Iran","41"
"Korea, South","41"
"The Gambia","40"
"Peru","40"
"Jamaica","39"
"Ecuador","38"
"Suriname","36"
"Guadeloupe","35"
"Costa Rica","34"
"Martinique","33"
"Lithuania","32"
"Moldova","32"
"Gabon","28"
"Cyprus","28"
"Azerbaijan","27"
"Haiti","26"
"Comoros","24"
"Luxembourg","23"
"New Zealand","23"
"Sierra Leone","23"
"Estonia","23"
"Benin","22"
"Zimbabwe","22"
"Honduras","21"
"Kazakhstan","19"
"Latvia","19"
"China","19"
"Madagascar","17"
"Zambia","17"
"Faroe Islands","17"
"Uzbekistan","17"
"Central African Republic","17"
"Mozambique","16"
"Mauritania","16"
"Equatorial Guinea","15"
"Iraq","14"
"Panama","13"
"Saudi Arabia","13"
"Liberia","13"
"Philippines","12"
"Burundi","12"
"Uganda","11"
"Trinidad and Tobago","10"
"Kenya","10"
"Bolivia","10"
"French Guiana","8"
"Dominican Republic","8"
"Qatar","8"
"Thailand","7"
"El Salvador","7"
"Niger","7"
"Grenada","7"
"Palestine","6"
"Montserrat","6"
"Aruba","6"
"Sao Tome and Principe","5"
"Indonesia","5"
"Guyana","5"
"Antigua and Barbuda","5"
"Malta","5"
"Tajikistan","5"
"Chad","4"
"Tanzania","4"
"Rwanda","4"
"Libya","4"
"Syria","4"
"Lebanon","4"
"Barbados","4"
"Malaysia","4"
"Ethiopia","3"
"St. Lucia","3"
"Neukaledonien","3"
"Liechtenstein","3"
"St. Kitts & Nevis","3"
"Jordan","3"
"Afghanistan","3"
"Malawi","2"
"Bermuda","2"
"Pakistan","2"
"Saint-Martin","2"
"Vietnam","2"
"Chinese Taipei","2"
"Guatemala","2"
"Eritrea","2"
"Nicaragua","1"
"Somalia","1"
"Brunei Darussalam","1"
"Unknown","1"
"Oman","1"
"Monaco","1"
"Tahiti","1"
"Seychelles","1"
"Laos","1"
"R̩union","1"
"Cuba","1"
"Bahrain","1"
"United Arab Emirates","1"
"Papua New Guinea","1"
"Macao","1"
"San Marino","1"
"Sint Maarten","1"
"Andorra","1"
"Turkmenistan","1"
"Mauritius","1"
"Kyrgyzstan","1"
"India","1"
"Korea, North","1"
